emp_basic_id,master_education_key,course,name_of_school,year_graduated,award
3,ele,,Loakan Elementary School,1994,
3,sec,,Baguio City National High School,1998,
3,col,BSCOE,System Technology Institute,2004,
4,ele,,SLU Laboratory E.S.,2003,Loyalty
4,sec,,Don Bosco High School,2007,Loyalty
4,col,BSIT,SLU,2011,
5,ele,,Virac Elementary School,2002,
5,sec,,Saint Louis High School of Balatoc,2006,
5,col,BSIT,University of the Cordilleras,2009,
7,ele,,Baguio Central School,,
7,sec,,Baguio City National High School (Main),,
7,col,Information Technology,University of the Cordilleras,2013,
8,ele,,SPED Center,2002,
8,sec,,BCNHS,2006,
8,col,BSCS,Univesity of the Cordilleras,2011,Graduated
9,ele,,Rosario Integrated School,2003,with Honors
9,sec,,Saint Marys Academy,2007,2nd Honorable Mention
9,col,BSIT,University of the Cordilleras,2011,"DL 1st tri. SY 2007-2008, College Scholar 1st tri. SY 2008-2009"
10,ele,,La Trinidad Central School,2003,
10,sec,,Pines City National High School,2007,
10,col,IT,Benguet State University,2013,
11,ele,,Saint Louis School Center,2007,
11,sec,,University of Baguio Science High School,2011,
11,col,Bachelor of Science in Computer Science,Saint Louis University,2015,
12,ele,,STEP,2006,
12,sec,,SLU-LHS & STEP,2010,
12,col,BSIT,SLU,2014,
69,ele,,Rang-ayan Elementary School,2005,Salutatorian
69,sec,,San Sebastian School,2009,"ESC Scholar, 4th Honor"
69,voc,Bookkeeping,BCSAT,2013,National Competitive Level III
69,col,BSBA FINMAN,SLU,2013,"University Scholar, Ayala Young Leaders Awardee"
68,ele,,SPED Center Foundation,1997,
68,sec,,SLU-LHS,2001,
68,col,BSECE,Saint Louis University,2008,
65,ele,,St. Anthony School of Manila,2006,
65,sec,,Agustinian School of Cabuyao,2010,
65,col,BSCE,MAPUA/FEV EAC,2014,
66,col,BSIT-Network,UC,2016,Magna Cumlaude
14,ele,,San Francisco Elementary School,2005,
14,sec,,Anao High School,2009,
14,col,BS Information Technology,Saint Louis University,2013,
13,ele,,Camangaan Elementary School,2004,
13,sec,,Juan G. Macaraeg National High School,2008,
13,col,,Panpacific University North Philippines,2012,PUNP Chorale
17,ele,,Bagsangan Elementary School,2004,
17,sec,,Gallanosa National High School,2008,
17,col,,Data Center College of the Phil.,2014,
18,ele,,Mabini Elementary School,1999,
18,sec,,Baguio City National High School,2003,
18,col,BS in Computer Engineering,Baguio College of Technology,2014,
19,ele,,Loakan Elementary School,2004,
19,sec,,BCNHS-Loakan Annex,2008,
19,col,BSIT (Info. Tech),University of Baguio,2013,
55,ele,,San Julian Elementary School,2005,
55,sec,,Moncada Catholic School,2009,
55,col,BSIT,University of the Cordilleras,2014,
20,ele,,Pugaro District Dagupan City Elementary School,2002,
20,sec,,Dagupan City National High School,2006,
20,col,BS Computer Science,Pangasinan State University,2010,
26,ele,,Baguio Patriotic High School,2008,Perfect Attendance
26,sec,,Baguio Patriotic High School,2012,"Loyalty, Perfect Attendance"
26,col,BSIT,University of the Cordilleras,2015,
23,ele,,Asian Montessori School,1992,
23,sec,,Chevalier School,1996,
23,col,BSMT(Maintenance Technology),Angeles University Foundation,1999,
56,ele,,Lucban Elementary School,2006,
56,sec,,,2010,
56,col,Bachelor of Science in Information Technology,Benguet State University,2014,
27,ele,,Pasig Elementary School,2006,
27,sec,,Pasig High School,2010,
27,col,,Data Center College of the Philippines,2014,
28,ele,,Nangalisan Elementary School,2008,
28,sec,,Tuba National High School,2012,
28,col,,University of the Cordilleras,2015,
70,ele,,Victoria Elementary School,,
70,sec,,Victoria National High School,2008,
70,col,Electronics Engineer,Tarlac State University,2013,"ECE National/Regional Quizzer, Municipal Scholar"
29,ele,,Alno Kadoorie Elementary School,2005,
29,sec,,CCDC,2010,
29,col,,University of the Cordilleras,2014,Varsity
