emp_basic_id,master_job_title_key,company_name,company_address,date_from,date_to,industry,salary,responsibilities
3,Clerk,Progress Employment Agency,"San Vicente, San Jacinto Pangasinan",2009-01-01,2009-06-01,,,
3,Shipping Assistant,KWE,"Loakan, Baguio City",2006-01-01,2008-09-01,,,
3,OJT,T.I.,"Loakan, Baguio City",2004-05-01,2004-10-01,,,
4,MIS Assistant,Manor,John Hay,,,Hotel IT Services,,
4,System Admin,WOW Stream,Loakan,,,IT Industry,,
4,Technician,UNICOM,Porta Vaga,,,,,
5,Computer Attendant,Faith Internet Café,Abanao St. Baguio City,2009-08-01,2010-08-01,,,
5,Product Specialist Attendant,Texas Instruments,Loakan Rd. Baguio City,2010-08-01,2011-01-01,,,
5,IT Support/Computer Attendant,Faith Internet Café,Session Rd. Baguio City,2011-02-01,2011-12-01,,,
5,Underwriting Assistant,"Standard Insurance Co.,Inc.",Session Rd. Baguio City,2012-06-01,2012-12-01,,,
7,Software Consultant,TINGKER,Hallelujah BLDG. Magsaysay Ave.,2014-01-01,2015-01-01,,,
7,JR PHP Programmer,NTO;,Peza Loakan,2013-01-01,2014-01-01,,,
8,Cust Service Rer.,SITEL,Loakan Rd. Baguio City,,,,,
8,,Agies People Support,"SM Fiesta Strip, Baguio City",,,,,
9,Review & Verification System Document Reviewer,Tech-Synergy Transcription Phils.,"Albergo Hotel, Lualhati Baguio City",2012-06-01,2013-04-01,BPO Transcription,11500,Transferred
9,General Transcriptionist,Tech-Synergy Transcription Phils.,"Albergo Hotel, Lualhati Baguio City",2013-04-01,2014-02-01,BPO,14000,Need to practice degree
9,IT Admin Assistant,Raj Tech. Inc.,,2014-02-01,2015-10-01,IT,14000,Transferred
9,IT Specialist level and admin support,Raj Tech. Inc.,,2015-10-01,,IT,14000,
10,"Data, Researcher and Product management Specialist",Outsourced Virtual Services and Support,,2012-06-01,2013-07-01,,,End of Contract
69,Forex Trader,MetiseTrade,"Bonifacio Global City, Taguig",2013-12-01,2014-03-01,Foreign Exchange,,Family Problem
69,Acctg. Officer,E.Core INC.,"Norweigian Collection BLDG. Loakan Rd., Baguio City",2014-07-01,2017-01-01,"IT Services, Machine leasing",,Company Dissolution
68,Asst. manager,E.Core INC.,"BCEZ Loakan, Baguio City",2011-05-01,2016-12-01,,25000,Company closed
68,Maintenance Engr.,Baguio Country Club Corp.,BCC Rd. Baguio,2010-01-01,2011-01-01,,12000,
65,Autocad Design,W-Tech INC.,"San Andres, Bukid, MLA",2010-01-01,2011-02-01,Office Furnitures,16000,Studies
65,TSR/CSR,ALORICA,Magallanes 29th floor,2013-02-01,2015-03-01,BPO,18000,Transfer
65,IT/Sharepoint,Stefanini,,2015-09-01,2016-11-01,ITO,26000,Transfer
14,System Auditor,Kintetsu World Express,"Peza Loakan, Baguio City",2013-02-01,2014-12-01,Logistics,8000,Resigned
13,Telemarketing Agent/Call Analyst,Syner-G Outsourcing Inc.,Baguio City,2013-08-01,2013-12-01,BPO,,for RAJ
13,Production Specialist,Texas Instruments Baguio,Baguio City,2013-02-01,2013-07-01,Manufacturing,,End of Apprenticeship
13,Management Information System(MIS) Officer,Tiongsan Harrison,Baguio City,2012-07-01,2013-01-01,IT,,for TI
13,Data Entry Encoder/Specialist,Outsourced Virtual Services and Support(Overseas),La Trinidad,2012-03-01,2012-06-01,IT,,finish thesis
19,Asia Regional Helpdesk,RAJ Tech. Inc.,"Labsan St., Baguio City",2013-01-01,,IT Services,13000,
55,Data Analyst,Acconture,"Cubao, Quezon City",2014-08-01,2015-02-01,BPO,16000,Family concern
55,AdOps Specialist,Wideout Inc.,Makati City,2015-07-01,2015-10-01,BPO,16000,End of Contract
20,Asia Regional Helpdesk,RAJ Tech. Inc.,"Labsant St., Baguio City",2010-01-01,,IT Services,15000,
23,IT Server Support Admin,IQOR Philippines,,2013-09-01,2014-10-01,BPO/IT Outsourcing,,Graveyard Shift
23,IT Specialist,e Computer Link,,2008-01-01,2013-01-01,Computer Trading,,Business close
23,Server/Network/Infra Admin,International Network Computers(DELL),,2001-01-01,2008-01-01,IT Management,,Resigned
56,Customer Service Representative,CONCENTRIX,"SM North Edsa, Quezon City",2014-08-01,2014-10-01,,,High cost living and failed training
70,Software Engineer/ Analyst,Accenture,"Mandaluyong, Metro Manila",2014-04-01,2016-05-01,Information Technology,30000,
30,Apprentice,TI,Peza Loakan,,,Semicnductor,,
31,"Applicatin Developer/Support, System Admin",RaJ Technologies inc.,"No. 7 Labsan St., Baguio City",2013-07-01,,IT Industry,,
31,Ranking Manager and Internal Process Specialist,Magic 8 Philippine Enterprises,"San Carlos Hts., Baguio City",2011-05-01,2013-05-01,Internet Marketing/SEO,25000,Company Closed
31,On the Job trainee,Robisons Savings Bank,Baguio City,2010-03-01,2010-06-01,Bank Services(IT),,
32,Credit Analyst,Sentinel Credit Info Services(BDO Unibank Inc.),"Perez Blvd. Dagupan City, Pangasinan",2013-03-01,2015-07-01,Banking and Financial Services,,better employment opportunity
32,Marketing Assistant,Sentinel Credit Info Services(BDO Unibank Inc.),"Perez Blvd. Dagupan City, Pangasinan",2013-04-01,2013-05-01,Banking and Financial Services,,Relocation
32,Student Assistant,University of Luzon,"Perez Blvd. Dagupan City, Pangasinan",2008-08-01,2013-03-01,Educational Institution,,End of Scholarship
32,Project Merchandiser,AC Sicat MKTG. Services(Fontera Brand Phil.),"Baguio City, Benguet",2008-06-01,2008-08-01,Merchandising,,College Career
71,System Admin,Raj Technologies Inc.,,,,,,
#N/A,OJT,John Hay Mgmt. Corporation,Camp John Hay Baguio City,2015-02-01,2015-05-01,,,
34,Technical Support/ Developer,Texas Instruments,"Peza, Loakan Rd., Baguio City",2012-02-01,2012-07-01,IT,,End of contract
52,Customer Service Associate,Convergys,"One EvoTech Bldg., Sta. Rosa",2015-09-01,2016-01-01,BPO,17500,ENDO
52,Administrative Assistant,GVA Inc.,Camp 7,2012-09-01,2015-05-01,,7000,ENDO
53,Graphic Artist,Power Source Success Academy,,2014-01-01,2016-05-01,Human Resource,15000,
37,W. System Admin and Executive Support,PC Compumart Inc.,3rd flr. Abanao Sq. Abanao St.,2005-07-01,2010-03-01,Computer Sales/Store and Support,,Contract ended
37,HW/SW Support,Unicorn Foundation,"Rostos, Bulacan",2004-07-01,2005-06-01,,,Career Bldg.
37,Computer Tech. Support,Accent Micro Tech. Inc.,"Suite 1408 14th flr.,Antel Global, Pasig City Phil.",2004-02-01,2004-07-01,HW Support,,Greener pasture
37,Tech. Sales Supervisor,Exponent Enterprises,"Tiongsan Harrison Dept. Store, Baguio City",2002-08-01,2004-02-01,Computer Sales/Store,,Career Bldg.
37,Computer Tech. Support,Norm Computer Shop,KM5 New Publics Market,2000-01-01,2002-08-01,Computer Shop,,Greener pasture
37,OJT-Assistant PE,Texas Instrument Philippines Inc.,"Loakan Rd., Baguio City",2001-11-01,2002-04-01,Semi Conductor,,Greener pasture
58,CSR,Convergys,John Hay,2014-08-01,,Call Center,,New Job
58,TSR,Convergys,"Libis, Quezon City",2013-09-01,2014-05-01,Call Center,,Personal
58,TSR,TPG,"Ortigas, Pasig City",2012-11-01,2013-08-01,Call Center,,Personal
38,Software Engineer,MISYS,"8th flr. Zuelling Bldg. Ayala Cor. Paseo de Roxas, makati City",2013-11-01,2015-09-01,Software/Banking Systems,,
38,Science Aide,DOST - GIA Project,"EEEI Building, Velasquez St., UP Diliman",2013-01-01,2013-12-01,Research and Development,,
36,Talent Acquisition Specialist,Sunpower Philippines Manufacturing Limited,"FPIP, Sto. Tomas, Batangas",2013-02-01,2013-10-01,Manufacturing,,
36,Human Resource Assistant,Malayan Colleges Laguna,"Diezmo Rd., Pulo, Calamba City",2012-01-01,2012-04-01,Education,,
36,Customer Service Representative,Sitel Corporation,"PEZA Loakan, Baguio City",2009-08-01,2011-10-01,BPO,,
36,Clerk 1,Isuzu Philippines Corporation,"Laguna Technopark, Biñan, Laguna",2005-06-01,2005-09-01,,,
63,Señor Software Engineer,Accenture,"Pioneer St., mandaluyong City",2007-07-01,2014-06-01,IT,40000,
63,.Net Developer,Innerworks International,"ADB Ave., Ortigas, Pasig City",2014-09-01,2014-11-01,IT,45000,
63,Share Point Developer,Collabera Technologies,"V.A. Rufino St., Ayala Ave., Makati City",2014-11-01,2016-01-01,IT,80000,
41,Digital Order Support,Teletech,"MOA Complex Roxas, Pasay City",2013-11-01,2014-09-01,BPO,,
43,Asia Regional Helpdesk,Raj Technologies Inc.,,2009-10-01,,Information Technology,,
44,Technical Support,Cantier Systems Inc.,Muntinlupa City,2014-07-01,2015-04-01,IT,12500,New position
45,,RAJ,,,,Semicon/Outsourcing,,
46,Customer Service Representative,GGP Contact Solution,"Upper Fairview, Baguio City",2010-06-01,2010-11-01,BPO,8000,
47,Asia Regional HD,Raj Technologies Inc.,,2010-10-01,2011-09-01,,,Re-assinged
47,Administrative Asst.,RAJ,,2011-09-01,2013-07-01,,,Re-assinged
47,HR Officer,RAJ,,2013-07-01,2014-10-01,,,Re-assinged
48,Production Operator,Ichinomiya Electronics Philippines Inc.,"128 East Main Ave. Ext., Sepz, Laguna",2001-05-01,2002-03-01,Electronics,5000,Job Opening at AMKOR
48,Equipment Engineer,AMKOR Technology Philippines Inc.,"KM.22 East Service rd., SSH Cupang Muntinlupa City 4th district 1770",2002-04-01,2003-03-01,Semi Conductor,7000,Pregnant with first child
