emp_basic_id,title,date_from,date_to,place_seminar
4,AMD Seminars,,,
4,INTEL Seminars,,,
4,EPSON Seminars,,,
4,Google Seminars,,,
11,On the job Training,2015-04-01,2015-05-01,PAG-IBIG Baguio Branch
11,Computer Maintenance,,,NIIT - Baguio City
12,Agile Thinking,2013-10-25,,"SLU, Baguio City"
12,Agile Methodologies,2013-10-25,,"SLU, Baguio City"
12,Positive IT Apps Congress,2013-08-16,,"Leisure Coast Resort, Dagupan City"
12,Northern Luzon Research Congress on Computing and Info. Science,2013-03-08,2013-03-10,"SLU, Baguio City"
69,Career JumpStart 2016,2016-08-29,2016-08-29,"Social Hall, Baguio City Municipal hall"
69,FOREX Trading,2013-12-16,2013-12-21,"9th floor Marato Tower, 26th St. B6C Taguig"
69,Bookkeeping NCIII,2013-10-07,2013-10-07,Baguio-Benguet Community Credit-Coop
69,Behavioral Finance,2013-09-29,2013-09-29,"Devesse AVR, SLU, Baguio City"
69,BIR Taxation,2013-08-23,2013-08-23,"Leonard Wood, Baguio City"
69,Future in Finance,2013-02-17,2013-02-17,"Devesse AVR, SLU, Baguio City"
69,Language of Personal Finance,2012-11-25,2012-11-25,"Diamond Hall, Hotel Supreme, Baguio City"
69,Monetary Policies and Central Banking,2012-09-16,2012-09-16,"Devesse AVR, SLU, Baguio City"
69,Derivatives and Insurance Acctg.,2011-01-30,2011-01-30,"Devesse AVR, SLU, Baguio City"
69,Filipino Entrepreneurs: EntrePinoys,2010-03-06,2010-03-06,"Prince Bernard Hall, Baguio City"
14,KWE's Code of Ethics and Corporate Citizenship,2014-03-22,2014-03-22,"TIPI Auditorium, Baguio City"
14,6th Northern Luzon Research Congress on Computing and Information Sciences,2013-03-08,2013-03-10,"Saint Louis University, Baguio City"
14,Cloud Computing,2012-09-14,2012-09-14,"Teacher's Camp, Baguio City"
14,Mobility Computing,2012-11-18,2012-11-25,"Saint louis University, Baguio City"
14,10th Philippine Youth Congress on Information Technology,2012-09-09,2012-09-10,"University of the Philippines Diliman, Quezon City"
18,On the Job Training,2014-06-01,,National Bureau of Investigation - CAR
18,Arduino Software and Hardware Interfaces,2013-01-31,,
18,"XNA Game Development, Adobe Photoshop, AutoCAD 3D, and Basic Computer Troubleshooting and Networking",2014-03-22,,
18,Latching Circuit and Simple Power Supply,2014-03-22,,
19,Delivering Customer Service,2014-10-04,2014-10-04,"Palazo D'Bliss, Baguio City"
55,Positive IT Congress,2013-07-12,,"Leisure Coast Resort, Dagupan"
55,WCCOM Tech Seminar and Workshop,2013-08-16,,University of the Cordilleras Auditorium
55,Paper Presentation on Innovative ICT Development,2013-09-03,,University of the Cordilleras Auditorium
20,Delivering Excellent Customer Service,2014-10-04,2014-10-04,"Palazzo D'Bliss, Baguio City"
26,Scratch and Raptor Application,2014-07-11,2014-07-12,University of the Cordilleras
26,Geographic Information System,2014-08-08,2014-08-08,University of the Cordilleras
